_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
165019,2023-11,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,04 TO 06,44.0,Improved,1979,54 years 07 months,305000.0,406 ANG MO KIO AVE 10,560406,1.36200453938712,103.853879910407
165020,2023-11,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,07 TO 09,44.0,Improved,1979,54 years 07 months,295000.0,406 ANG MO KIO AVE 10,560406,1.36200453938712,103.853879910407
165021,2023-11,ANG MO KIO,2 ROOM,116,ANG MO KIO AVE 4,07 TO 09,44.0,Improved,1978,53 years 07 months,278000.0,116 ANG MO KIO AVE 4,560116,1.37334635014911,103.8364593481
165022,2023-11,ANG MO KIO,3 ROOM,216,ANG MO KIO AVE 1,01 TO 03,73.0,New Generation,1976,51 years 06 months,350888.0,216 ANG MO KIO AVE 1,560216,1.36619678831054,103.841505011903
165023,2023-11,ANG MO KIO,3 ROOM,332,ANG MO KIO AVE 1,07 TO 09,82.0,New Generation,1981,56 years 02 months,410000.0,332 ANG MO KIO AVE 1,560332,1.36167030761833,103.851955453764
165024,2023-11,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1977,52 years 08 months,350000.0,219 ANG MO KIO AVE 1,560219,1.36598198004505,103.840654039612
165025,2023-11,ANG MO KIO,3 ROOM,549,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1981,56 years 03 months,400000.0,549 ANG MO KIO AVE 10,560549,1.37316478582721,103.857411830838
165026,2023-11,ANG MO KIO,3 ROOM,405,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,54 years 07 months,352000.0,405 ANG MO KIO AVE 10,560405,1.36157912717139,103.853805386957
165027,2023-11,ANG MO KIO,3 ROOM,433,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,54 years 03 months,385000.0,433 ANG MO KIO AVE 10,560433,1.36807652285135,103.854353042615
165028,2023-11,ANG MO KIO,3 ROOM,576,ANG MO KIO AVE 10,01 TO 03,82.0,New Generation,1980,55 years 03 months,438000.0,576 ANG MO KIO AVE 10,560576,1.37140239598539,103.854845849383
165029,2023-11,ANG MO KIO,3 ROOM,576,ANG MO KIO AVE 10,10 TO 12,82.0,New Generation,1980,55 years 03 months,445000.0,576 ANG MO KIO AVE 10,560576,1.37140239598539,103.854845849383
165030,2023-11,ANG MO KIO,3 ROOM,434,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,54 years 03 months,410000.0,434 ANG MO KIO AVE 10,560434,1.3678915069194,103.85345502653
165031,2023-11,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,55 years 04 months,351000.0,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
165032,2023-11,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,07 TO 09,74.0,New Generation,1979,54 years 10 months,388000.0,417 ANG MO KIO AVE 10,560417,1.36495953274783,103.855197097728
165033,2023-11,ANG MO KIO,3 ROOM,474,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1984,59 years 03 months,370000.0,474 ANG MO KIO AVE 10,560474,1.36275784702216,103.858015323667
165034,2023-11,ANG MO KIO,3 ROOM,433,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,54 years 03 months,400000.0,433 ANG MO KIO AVE 10,560433,1.36807652285135,103.854353042615
165035,2023-11,ANG MO KIO,3 ROOM,421,ANG MO KIO AVE 10,10 TO 12,74.0,New Generation,1979,54 years 10 months,375000.0,421 ANG MO KIO AVE 10,560421,1.36538422642267,103.852966961527
165036,2023-11,ANG MO KIO,3 ROOM,417,ANG MO KIO AVE 10,13 TO 15,74.0,New Generation,1979,54 years 09 months,412000.0,417 ANG MO KIO AVE 10,560417,1.36495953274783,103.855197097728
