_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
6013,2017-05,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,04 TO 06,44,Improved,1978,59 years 09 months,210000,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983
6014,2017-05,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,10 TO 12,44,Improved,1979,61 years 01 month,235000,406 ANG MO KIO AVE 10,560406,1.36200453938712,103.853879910407
6015,2017-05,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,07 TO 09,44,Improved,1980,62 years 01 month,255000,510 ANG MO KIO AVE 8,560510,1.37340092645025,103.849073244454
6016,2017-05,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,61 years 04 months,250000,443 ANG MO KIO AVE 10,560443,1.36604388871674,103.855368968681
6017,2017-05,ANG MO KIO,3 ROOM,611,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,62 years 01 month,255000,611 ANG MO KIO AVE 5,560611,1.37829205175133,103.83725190016
6018,2017-05,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1978,60 years 04 months,264000,109 ANG MO KIO AVE 4,560109,1.3700965375834,103.837687766047
6019,2017-05,ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,04 TO 06,60,Improved,1986,67 years 08 months,271000,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365
6020,2017-05,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,61 years 06 months,272000,468 ANG MO KIO AVE 10,560468,1.36487674599293,103.856287317569
6021,2017-05,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,01 TO 03,68,New Generation,1980,62 years 06 months,275000,610 ANG MO KIO AVE 4,560610,1.37939470300077,103.839157232686
6022,2017-05,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,10 TO 12,68,New Generation,1980,61 years 09 months,280000,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
6023,2017-05,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,61 years 09 months,280000,535 ANG MO KIO AVE 5,560535,1.37458255258876,103.853049125302
6024,2017-05,ANG MO KIO,3 ROOM,214,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1976,57 years 11 months,282000,214 ANG MO KIO AVE 3,560214,1.3673922200256,103.841127940925
6025,2017-05,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1984,66 years 04 months,288000,466 ANG MO KIO AVE 10,560466,1.36581960538764,103.857061606231
6026,2017-05,ANG MO KIO,3 ROOM,468,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,61 years 06 months,290000,468 ANG MO KIO AVE 10,560468,1.36487674599293,103.856287317569
6027,2017-05,ANG MO KIO,3 ROOM,635,ANG MO KIO AVE 6,10 TO 12,68,New Generation,1980,62 years 04 months,290000,635 ANG MO KIO AVE 6,560635,1.38076896104696,103.842378423538
6028,2017-05,ANG MO KIO,3 ROOM,404,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,61 years,290000,404 ANG MO KIO AVE 10,560404,1.36167767060852,103.854726492538
6029,2017-05,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,61 years 09 months,290000,463 ANG MO KIO AVE 10,560463,1.36694793518613,103.857487648675
6030,2017-05,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,61 years 09 months,290000,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
6031,2017-05,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1981,62 years 08 months,295000,153 ANG MO KIO AVE 5,560153,1.37635745661369,103.842056476563
6032,2017-05,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,61 years 09 months,295000,536 ANG MO KIO AVE 10,560536,1.37447378519738,103.854100515826
6033,2017-05,ANG MO KIO,3 ROOM,201,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1977,58 years 11 months,295000,201 ANG MO KIO AVE 3,560201,1.36884962699229,103.844564835127
6034,2017-05,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1981,62 years 08 months,295000,153 ANG MO KIO AVE 5,560153,1.37635745661369,103.842056476563
6035,2017-05,ANG MO KIO,3 ROOM,610,ANG MO KIO AVE 4,10 TO 12,68,New Generation,1980,62 years 06 months,300000,610 ANG MO KIO AVE 4,560610,1.37939470300077,103.839157232686
6036,2017-05,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1985,66 years 08 months,300000,631 ANG MO KIO AVE 4,560631,1.3795572819161,103.840735651035
6037,2017-05,ANG MO KIO,3 ROOM,512,ANG MO KIO AVE 8,01 TO 03,68,New Generation,1980,62 years 03 months,300000,512 ANG MO KIO AVE 8,560512,1.3726147414362,103.849155674919
6038,2017-05,ANG MO KIO,3 ROOM,403,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,61 years,300000,403 ANG MO KIO AVE 10,560403,1.36126901451361,103.854642365822
6039,2017-05,ANG MO KIO,3 ROOM,153,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1981,62 years 08 months,303000,153 ANG MO KIO AVE 5,560153,1.37635745661369,103.842056476563
6040,2017-05,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,01 TO 03,68,New Generation,1981,62 years 08 months,305000,330 ANG MO KIO AVE 1,560330,1.36243186402478,103.851030689651
6041,2017-05,ANG MO KIO,3 ROOM,575,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,61 years 08 months,305000,575 ANG MO KIO AVE 10,560575,1.37138855070768,103.855953346739
6042,2017-05,ANG MO KIO,3 ROOM,565,ANG MO KIO AVE 3,13 TO 15,68,New Generation,1980,61 years 08 months,305000,565 ANG MO KIO AVE 3,560565,1.3695393440628,103.858385596097
6043,2017-05,ANG MO KIO,3 ROOM,534,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,61 years 09 months,305000,534 ANG MO KIO AVE 10,560534,1.37405846295585,103.854168170426
6044,2017-05,ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1977,59 years 04 months,308000,233 ANG MO KIO AVE 3,560233,1.36754924977907,103.836740628478
6045,2017-05,ANG MO KIO,3 ROOM,119,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,60 years 05 months,310000,119 ANG MO KIO AVE 3,560119,1.36956344301912,103.844698910817
6046,2017-05,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,10 TO 12,68,New Generation,1985,66 years 08 months,315000,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956
