_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
94684,2021-04,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45,Improved,1986,63 years 09 months,208500,174 ANG MO KIO AVE 4,560174,1.37509746867904,103.83761896123
94685,2021-04,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,01 TO 03,44,Improved,1978,55 years 09 months,218000,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983
94686,2021-04,ANG MO KIO,3 ROOM,129,ANG MO KIO AVE 3,01 TO 03,73,New Generation,1979,56 years 11 months,250000,129 ANG MO KIO AVE 3,560129,1.36989498895756,103.842059049722
94687,2021-04,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,57 years 09 months,265000,559 ANG MO KIO AVE 10,560559,1.37099810674697,103.857856391877
94688,2021-04,ANG MO KIO,3 ROOM,180,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,59 years 01 month,270000,180 ANG MO KIO AVE 5,560180,1.37667706463381,103.838361037555
94689,2021-04,ANG MO KIO,3 ROOM,220,ANG MO KIO AVE 1,04 TO 06,67,New Generation,1977,55 years 04 months,280000,220 ANG MO KIO AVE 1,560220,1.36558833593063,103.840518883254
94690,2021-04,ANG MO KIO,3 ROOM,601,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,58 years 02 months,280000,601 ANG MO KIO AVE 5,560601,1.38104134784496,103.835131744823
94691,2021-04,ANG MO KIO,3 ROOM,630,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1981,59 years 07 months,282000,630 ANG MO KIO AVE 4,560630,1.38054138917049,103.841068277331
94692,2021-04,ANG MO KIO,3 ROOM,448,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1979,57 years 03 months,290000,448 ANG MO KIO AVE 10,560448,1.3674419012314,103.856396604517
94693,2021-04,ANG MO KIO,3 ROOM,576,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,57 years 10 months,290000,576 ANG MO KIO AVE 10,560576,1.37140239598539,103.854845849383
