_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
72991,2020-07,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,04 TO 06,44,Improved,1978,56 years 07 months,198000,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983
72992,2020-07,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,04 TO 06,44,Improved,1978,56 years 06 months,207000,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983
72993,2020-07,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,01 TO 03,44,Improved,1980,59 years,198000,510 ANG MO KIO AVE 8,560510,1.37340092645025,103.849073244454
72994,2020-07,ANG MO KIO,2 ROOM,508,ANG MO KIO AVE 8,01 TO 03,44,Improved,1980,58 years 11 months,208000,508 ANG MO KIO AVE 8,560508,1.3737900820123,103.849028999189
72995,2020-07,ANG MO KIO,3 ROOM,218,ANG MO KIO AVE 1,10 TO 12,82,New Generation,1976,54 years 11 months,290000,218 ANG MO KIO AVE 1,560218,1.36511908595886,103.841742478489
72996,2020-07,ANG MO KIO,3 ROOM,332,ANG MO KIO AVE 1,04 TO 06,68,New Generation,1981,59 years 07 months,285000,332 ANG MO KIO AVE 1,560332,1.36167030761833,103.851955453764
72997,2020-07,ANG MO KIO,3 ROOM,333,ANG MO KIO AVE 1,04 TO 06,82,New Generation,1981,59 years 06 months,336000,333 ANG MO KIO AVE 1,560333,1.3613425564061,103.851698621454
72998,2020-07,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,01 TO 03,67,New Generation,1977,56 years,236000,219 ANG MO KIO AVE 1,560219,1.36598198004505,103.840654039612
72999,2020-07,ANG MO KIO,3 ROOM,440,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,57 years 07 months,253000,440 ANG MO KIO AVE 10,560440,1.36642789831215,103.854311491141
73000,2020-07,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1980,58 years 08 months,255000,560 ANG MO KIO AVE 10,560560,1.37081626777721,103.859192334256
73001,2020-07,ANG MO KIO,3 ROOM,418,ANG MO KIO AVE 10,01 TO 03,89,New Generation,1979,58 years 02 months,328000,418 ANG MO KIO AVE 10,560418,1.3649460137791,103.854043379775
73002,2020-07,ANG MO KIO,3 ROOM,445,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,58 years 02 months,286000,445 ANG MO KIO AVE 10,560445,1.36698004515058,103.85571808973
73003,2020-07,ANG MO KIO,3 ROOM,441,ANG MO KIO AVE 10,04 TO 06,67,New Generation,1979,57 years 06 months,230000,441 ANG MO KIO AVE 10,560441,1.36605027829032,103.854168309853
73004,2020-07,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1980,58 years 07 months,265000,560 ANG MO KIO AVE 10,560560,1.37081626777721,103.859192334256
73005,2020-07,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1984,63 years 02 months,266000,466 ANG MO KIO AVE 10,560466,1.36581960538764,103.857061606231
73006,2020-07,ANG MO KIO,3 ROOM,550,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1981,59 years 06 months,267000,550 ANG MO KIO AVE 10,560550,1.37360769512088,103.85820494173
73007,2020-07,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,13 TO 15,68,New Generation,1980,58 years 07 months,265000,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
73008,2020-07,ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,10 TO 12,68,New Generation,1981,59 years 06 months,272000,540 ANG MO KIO AVE 10,560540,1.37529376778898,103.855452425625
73009,2020-07,ANG MO KIO,3 ROOM,471,ANG MO KIO AVE 10,07 TO 09,82,New Generation,1979,58 years,315000,471 ANG MO KIO AVE 10,560471,1.36346600647245,103.856702918462
73010,2020-07,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,07 TO 09,74,New Generation,1979,58 years 01 month,270000,416 ANG MO KIO AVE 10,560416,1.3645417089084,103.855103690549
73011,2020-07,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,07 TO 09,75,New Generation,1980,58 years 06 months,262898,457 ANG MO KIO AVE 10,560457,1.36569761910875,103.858941954115
73012,2020-07,ANG MO KIO,3 ROOM,559,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,58 years 06 months,262000,559 ANG MO KIO AVE 10,560559,1.37099810674697,103.857856391877
73013,2020-07,ANG MO KIO,3 ROOM,576,ANG MO KIO AVE 10,13 TO 15,67,New Generation,1980,58 years 06 months,268000,576 ANG MO KIO AVE 10,560576,1.37140239598539,103.854845849383
73014,2020-07,ANG MO KIO,3 ROOM,550,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1981,59 years 06 months,255000,550 ANG MO KIO AVE 10,560550,1.37360769512088,103.85820494173
73015,2020-07,ANG MO KIO,3 ROOM,465,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,58 years 07 months,270000,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
73016,2020-07,ANG MO KIO,3 ROOM,556,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1980,58 years 06 months,248000,556 ANG MO KIO AVE 10,560556,1.37203236308683,103.857625375797
73017,2020-07,ANG MO KIO,3 ROOM,416,ANG MO KIO AVE 10,01 TO 03,74,New Generation,1979,58 years 01 month,275000,416 ANG MO KIO AVE 10,560416,1.3645417089084,103.855103690549
73018,2020-07,ANG MO KIO,3 ROOM,103,ANG MO KIO AVE 3,01 TO 03,74,New Generation,1978,56 years 08 months,285000,103 ANG MO KIO AVE 3,560103,1.37101657804604,103.839304839187
73019,2020-07,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1979,57 years 11 months,290000,570 ANG MO KIO AVE 3,560570,1.3697435855576,103.856023138277
73020,2020-07,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,07 TO 09,82,New Generation,1978,57 years 03 months,335000,121 ANG MO KIO AVE 3,560121,1.36970563478325,103.843515981311
73021,2020-07,ANG MO KIO,3 ROOM,313,ANG MO KIO AVE 3,10 TO 12,73,New Generation,1978,56 years 06 months,330000,313 ANG MO KIO AVE 3,560313,1.36664972640598,103.850133665442
73022,2020-07,ANG MO KIO,3 ROOM,422,ANG MO KIO AVE 3,07 TO 09,73,New Generation,1979,57 years 06 months,295000,422 ANG MO KIO AVE 3,560422,1.36799988809778,103.851873942231
73023,2020-07,ANG MO KIO,3 ROOM,122,ANG MO KIO AVE 3,10 TO 12,67,New Generation,1978,57 years 03 months,280000,122 ANG MO KIO AVE 3,560122,1.37018860668947,103.843413231524
73024,2020-07,ANG MO KIO,3 ROOM,129,ANG MO KIO AVE 3,07 TO 09,88,New Generation,1979,57 years 06 months,300000,129 ANG MO KIO AVE 3,560129,1.36989498895756,103.842059049722
73025,2020-07,ANG MO KIO,3 ROOM,587,ANG MO KIO AVE 3,01 TO 03,67,New Generation,1979,57 years 11 months,276000,587 ANG MO KIO AVE 3,560587,1.37018880409798,103.852429487897
73026,2020-07,ANG MO KIO,3 ROOM,587,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1979,57 years 11 months,290000,587 ANG MO KIO AVE 3,560587,1.37018880409798,103.852429487897
73027,2020-07,ANG MO KIO,3 ROOM,130,ANG MO KIO AVE 3,07 TO 09,73,New Generation,1979,57 years 06 months,305000,130 ANG MO KIO AVE 3,560130,1.37039791675237,103.841878840032
73028,2020-07,ANG MO KIO,3 ROOM,644,ANG MO KIO AVE 4,07 TO 09,89,New Generation,1980,59 years 04 months,385000,644 ANG MO KIO AVE 4,560644,1.37914986228487,103.84093819913
73029,2020-07,ANG MO KIO,3 ROOM,156,ANG MO KIO AVE 4,10 TO 12,68,New Generation,1981,59 years 10 months,285000,156 ANG MO KIO AVE 4,560156,1.37549519574964,103.839947470774
73030,2020-07,ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,04 TO 06,74,New Generation,1978,56 years 09 months,338000,106 ANG MO KIO AVE 4,560106,1.37193370323489,103.837486061851
73031,2020-07,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,04 TO 06,67,New Generation,1985,63 years 06 months,265000,631 ANG MO KIO AVE 4,560631,1.3795572819161,103.840735651035
73032,2020-07,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,10 TO 12,69,Improved,1986,64 years 06 months,300000,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142
73033,2020-07,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,57 years 01 month,278000,110 ANG MO KIO AVE 4,560110,1.37045937010888,103.837419259859
73034,2020-07,ANG MO KIO,3 ROOM,106,ANG MO KIO AVE 4,04 TO 06,74,New Generation,1978,56 years 09 months,290000,106 ANG MO KIO AVE 4,560106,1.37193370323489,103.837486061851
73035,2020-07,ANG MO KIO,3 ROOM,110,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,57 years 01 month,274000,110 ANG MO KIO AVE 4,560110,1.37045937010888,103.837419259859
73036,2020-07,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,01 TO 03,67,New Generation,1985,63 years 06 months,275000,631 ANG MO KIO AVE 4,560631,1.3795572819161,103.840735651035
73037,2020-07,ANG MO KIO,3 ROOM,624,ANG MO KIO AVE 4,10 TO 12,68,New Generation,1980,59 years 02 months,260000,624 ANG MO KIO AVE 4,560624,1.38156171229824,103.84000226873
73038,2020-07,ANG MO KIO,3 ROOM,107,ANG MO KIO AVE 4,04 TO 06,74,New Generation,1978,56 years 09 months,272000,107 ANG MO KIO AVE 4,560107,1.37138400081003,103.837381409794
73039,2020-07,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,58 years 08 months,245000,535 ANG MO KIO AVE 5,560535,1.37458255258876,103.853049125302
73040,2020-07,ANG MO KIO,3 ROOM,535,ANG MO KIO AVE 5,04 TO 06,67,New Generation,1980,58 years 08 months,255000,535 ANG MO KIO AVE 5,560535,1.37458255258876,103.853049125302
73041,2020-07,ANG MO KIO,3 ROOM,606,ANG MO KIO AVE 5,01 TO 03,67,New Generation,1980,59 years,250000,606 ANG MO KIO AVE 5,560606,1.37932777238671,103.83673603156
73042,2020-07,ANG MO KIO,3 ROOM,180,ANG MO KIO AVE 5,07 TO 09,68,New Generation,1981,59 years 10 months,249000,180 ANG MO KIO AVE 5,560180,1.37667706463381,103.838361037555
73043,2020-07,ANG MO KIO,3 ROOM,181,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,59 years 09 months,240000,181 ANG MO KIO AVE 5,560181,1.37679309896347,103.837142240849
73044,2020-07,ANG MO KIO,3 ROOM,523,ANG MO KIO AVE 5,10 TO 12,68,New Generation,1980,59 years 02 months,280000,523 ANG MO KIO AVE 5,560523,1.3729419359545,103.852866402032
73045,2020-07,ANG MO KIO,3 ROOM,150,ANG MO KIO AVE 5,07 TO 09,82,New Generation,1981,59 years 06 months,348000,150 ANG MO KIO AVE 5,560150,1.37680678506745,103.842017962576
73046,2020-07,ANG MO KIO,3 ROOM,538,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1980,58 years 07 months,250000,538 ANG MO KIO AVE 5,560538,1.37559336678106,103.853347801104
73047,2020-07,ANG MO KIO,3 ROOM,507,ANG MO KIO AVE 8,10 TO 12,67,New Generation,1980,59 years,174000,507 ANG MO KIO AVE 8,560507,1.37443139933504,103.850157484705
73048,2020-07,ANG MO KIO,3 ROOM,505,ANG MO KIO AVE 8,04 TO 06,68,New Generation,1980,59 years 02 months,285000,505 ANG MO KIO AVE 8,560505,1.3748597302123,103.850224901404
73049,2020-07,ANG MO KIO,3 ROOM,709,ANG MO KIO AVE 8,04 TO 06,82,New Generation,1980,59 years,303000,709 ANG MO KIO AVE 8,560709,1.37113720765377,103.847662320064
73050,2020-07,ANG MO KIO,3 ROOM,509,ANG MO KIO AVE 8,01 TO 03,67,New Generation,1980,58 years 11 months,290000,509 ANG MO KIO AVE 8,560509,1.37400086510074,103.850139806283
73051,2020-07,ANG MO KIO,3 ROOM,650,ANG MO KIO ST 61,04 TO 06,67,Model A,2015,94 years 05 months,420000,650 ANG MO KIO ST 61,560650,1.37769118043958,103.84274515222
73052,2020-07,ANG MO KIO,3 ROOM,650,ANG MO KIO ST 61,07 TO 09,67,Model A,2015,94 years 05 months,445000,650 ANG MO KIO ST 61,560650,1.37769118043958,103.84274515222
73053,2020-07,ANG MO KIO,4 ROOM,303,ANG MO KIO AVE 1,07 TO 09,97,New Generation,1977,55 years 09 months,439000,303 ANG MO KIO AVE 1,560303,1.36664920473672,103.84525455598
73054,2020-07,ANG MO KIO,4 ROOM,308A,ANG MO KIO AVE 1,10 TO 12,94,Model A,2012,91 years 02 months,682888,308A ANG MO KIO AVE 1,561308,1.36548342757106,103.844084739929
73055,2020-07,ANG MO KIO,4 ROOM,308A,ANG MO KIO AVE 1,01 TO 03,94,Model A,2012,91 years 02 months,507000,308A ANG MO KIO AVE 1,561308,1.36548342757106,103.844084739929
73056,2020-07,ANG MO KIO,4 ROOM,444,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1979,58 years 03 months,330000,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668
73057,2020-07,ANG MO KIO,4 ROOM,465,ANG MO KIO AVE 10,07 TO 09,92,New Generation,1980,58 years 08 months,368000,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
73058,2020-07,ANG MO KIO,4 ROOM,470,ANG MO KIO AVE 10,13 TO 15,92,New Generation,1979,58 years 05 months,345000,470 ANG MO KIO AVE 10,560470,1.36408620030202,103.856692408941
73059,2020-07,ANG MO KIO,4 ROOM,536,ANG MO KIO AVE 10,10 TO 12,93,New Generation,1980,58 years 07 months,370000,536 ANG MO KIO AVE 10,560536,1.37447378519738,103.854100515826
73060,2020-07,ANG MO KIO,4 ROOM,465,ANG MO KIO AVE 10,07 TO 09,92,New Generation,1980,58 years 07 months,410000,465 ANG MO KIO AVE 10,560465,1.3662010408294,103.857200967235
73061,2020-07,ANG MO KIO,4 ROOM,547,ANG MO KIO AVE 10,01 TO 03,92,New Generation,1981,59 years 06 months,350000,547 ANG MO KIO AVE 10,560547,1.37420951743562,103.858209667888
73062,2020-07,ANG MO KIO,4 ROOM,326,ANG MO KIO AVE 3,13 TO 15,92,New Generation,1977,56 years,450000,326 ANG MO KIO AVE 3,560326,1.36706933818888,103.847902498352
73063,2020-07,ANG MO KIO,4 ROOM,210,ANG MO KIO AVE 3,01 TO 03,91,New Generation,1977,55 years 10 months,340000,210 ANG MO KIO AVE 3,560210,1.36856005913566,103.843235087734
73064,2020-07,ANG MO KIO,4 ROOM,423,ANG MO KIO AVE 3,04 TO 06,109,Model A,1993,71 years 09 months,580000,423 ANG MO KIO AVE 3,560423,1.36876058776016,103.851771128044
