_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
4174,2017-04,ANG MO KIO,2 ROOM,170,ANG MO KIO AVE 4,01 TO 03,45.0,Improved,1986,67 years 11 months,205000.0,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142
4175,2017-04,ANG MO KIO,2 ROOM,174,ANG MO KIO AVE 4,04 TO 06,45.0,Improved,1986,67 years 09 months,210000.0,174 ANG MO KIO AVE 4,560174,1.37509746867904,103.83761896123
4176,2017-04,ANG MO KIO,2 ROOM,510,ANG MO KIO AVE 8,07 TO 09,44.0,Improved,1980,62 years 02 months,239000.0,510 ANG MO KIO AVE 8,560510,1.37340092645025,103.849073244454
4177,2017-04,ANG MO KIO,2 ROOM,314,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1978,59 years 09 months,250000.0,314 ANG MO KIO AVE 3,560314,1.36622707120636,103.850085858983
4178,2017-04,ANG MO KIO,3 ROOM,536,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,61 years 10 months,260000.0,536 ANG MO KIO AVE 10,560536,1.37447378519738,103.854100515826
4179,2017-04,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,62 years 10 months,270000.0,542 ANG MO KIO AVE 10,560542,1.37473841331656,103.855876768354
4180,2017-04,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,01 TO 03,68.0,New Generation,1985,66 years 10 months,282000.0,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956
4181,2017-04,ANG MO KIO,3 ROOM,463,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1980,61 years 10 months,283000.0,463 ANG MO KIO AVE 10,560463,1.36694793518613,103.857487648675
4182,2017-04,ANG MO KIO,3 ROOM,163,ANG MO KIO AVE 4,04 TO 06,69.0,New Generation,1980,62 years 06 months,285000.0,163 ANG MO KIO AVE 4,560163,1.37354853919927,103.838176471398
4183,2017-04,ANG MO KIO,3 ROOM,124,ANG MO KIO AVE 6,01 TO 03,67.0,New Generation,1979,60 years 09 months,285000.0,124 ANG MO KIO AVE 6,560124,1.37089179310251,103.844768276408
4184,2017-04,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,04 TO 06,68.0,New Generation,1980,62 years 05 months,290000.0,639 ANG MO KIO AVE 6,560639,1.37993407100545,103.84246297225
4185,2017-04,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,01 TO 03,68.0,New Generation,1980,62 years 05 months,293000.0,639 ANG MO KIO AVE 6,560639,1.37993407100545,103.84246297225
