_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
98974,2021-06,ANG MO KIO,3 ROOM,555,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1980,57 years 08 months,270000,555 ANG MO KIO AVE 10,560555,1.37119666371478,103.85702400572
98975,2021-06,ANG MO KIO,3 ROOM,554,ANG MO KIO AVE 10,01 TO 03,68,New Generation,1981,58 years 08 months,272000,554 ANG MO KIO AVE 10,560554,1.37282000844329,103.857784026362
98976,2021-06,ANG MO KIO,3 ROOM,639,ANG MO KIO AVE 6,01 TO 03,68,New Generation,1980,58 years 04 months,285000,639 ANG MO KIO AVE 6,560639,1.37993407100545,103.84246297225
98977,2021-06,ANG MO KIO,3 ROOM,151,ANG MO KIO AVE 5,07 TO 09,68,New Generation,1981,58 years 08 months,288000,151 ANG MO KIO AVE 5,560151,1.37671105271454,103.841168190659
98978,2021-06,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,01 TO 03,68,New Generation,1981,58 years 11 months,288888,178 ANG MO KIO AVE 4,560178,1.37619319942083,103.837038191014
98979,2021-06,ANG MO KIO,3 ROOM,504,ANG MO KIO AVE 8,01 TO 03,68,New Generation,1980,58 years 03 months,300000,504 ANG MO KIO AVE 8,560504,1.37482589458092,103.848956089557
98980,2021-06,ANG MO KIO,3 ROOM,202,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,54 years 11 months,302888,202 ANG MO KIO AVE 3,560202,1.36844644010937,103.844516260527
98981,2021-06,ANG MO KIO,3 ROOM,302,ANG MO KIO AVE 3,01 TO 03,73,New Generation,1978,55 years 10 months,303000,302 ANG MO KIO AVE 3,560302,1.36708983179046,103.845660199054
98982,2021-06,ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,07 TO 09,60,Improved,1986,63 years 08 months,305000,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365
98983,2021-06,ANG MO KIO,3 ROOM,319,ANG MO KIO AVE 1,01 TO 03,73,New Generation,1977,55 years,307000,319 ANG MO KIO AVE 1,560319,1.36511023350774,103.847379037914
98984,2021-06,ANG MO KIO,3 ROOM,103,ANG MO KIO AVE 3,01 TO 03,74,New Generation,1978,55 years 09 months,308000,103 ANG MO KIO AVE 3,560103,1.37101657804604,103.839304839187
98985,2021-06,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,04 TO 06,68,New Generation,1981,58 years 07 months,310000,330 ANG MO KIO AVE 1,560330,1.36243186402478,103.851030689651
98986,2021-06,ANG MO KIO,3 ROOM,503,ANG MO KIO AVE 5,01 TO 03,68,New Generation,1981,58 years 08 months,310000,503 ANG MO KIO AVE 5,560503,1.37546163119278,103.848942047568
98987,2021-06,ANG MO KIO,3 ROOM,542,ANG MO KIO AVE 10,04 TO 06,68,New Generation,1981,58 years 08 months,315000,542 ANG MO KIO AVE 10,560542,1.37473841331656,103.855876768354
98988,2021-06,ANG MO KIO,3 ROOM,170,ANG MO KIO AVE 4,07 TO 09,60,Improved,1986,63 years 08 months,315000,170 ANG MO KIO AVE 4,560170,1.37400071781295,103.83643153142
98989,2021-06,ANG MO KIO,3 ROOM,117,ANG MO KIO AVE 4,04 TO 06,74,New Generation,1978,56 years,315888,117 ANG MO KIO AVE 4,560117,1.3737170825368,103.835610469339
98990,2021-06,ANG MO KIO,3 ROOM,178,ANG MO KIO AVE 4,13 TO 15,68,New Generation,1981,58 years 11 months,317000,178 ANG MO KIO AVE 4,560178,1.37619319942083,103.837038191014
98991,2021-06,ANG MO KIO,3 ROOM,432,ANG MO KIO AVE 10,01 TO 03,67,New Generation,1979,56 years 08 months,320000,432 ANG MO KIO AVE 10,560432,1.36830996981351,103.853600305664
98992,2021-06,ANG MO KIO,3 ROOM,108,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,56 years 03 months,320000,108 ANG MO KIO AVE 4,560108,1.37096635222625,103.838201940326
98993,2021-06,ANG MO KIO,3 ROOM,631,ANG MO KIO AVE 4,10 TO 12,67,New Generation,1985,62 years 08 months,324888,631 ANG MO KIO AVE 4,560631,1.3795572819161,103.840735651035
98994,2021-06,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,07 TO 09,75,New Generation,1980,57 years 08 months,325000,457 ANG MO KIO AVE 10,560457,1.36569761910875,103.858941954115
98995,2021-06,ANG MO KIO,3 ROOM,202,ANG MO KIO AVE 3,04 TO 06,67,New Generation,1977,54 years 11 months,325000,202 ANG MO KIO AVE 3,560202,1.36844644010937,103.844516260527
98996,2021-06,ANG MO KIO,3 ROOM,127,ANG MO KIO AVE 3,07 TO 09,67,New Generation,1978,56 years 04 months,325000,127 ANG MO KIO AVE 3,560127,1.37122322102767,103.843593321222
98997,2021-06,ANG MO KIO,3 ROOM,457,ANG MO KIO AVE 10,01 TO 03,75,New Generation,1980,57 years 08 months,325000,457 ANG MO KIO AVE 10,560457,1.36569761910875,103.858941954115
98998,2021-06,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,07 TO 09,68,New Generation,1980,57 years 09 months,328000,462 ANG MO KIO AVE 10,560462,1.36695558620194,103.858031320467
98999,2021-06,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,07 TO 09,67,New Generation,1978,56 years 03 months,333000,109 ANG MO KIO AVE 4,560109,1.3700965375834,103.837687766047
99000,2021-06,ANG MO KIO,3 ROOM,649,ANG MO KIO AVE 5,13 TO 15,89,New Generation,1980,58 years 06 months,335000,649 ANG MO KIO AVE 5,560649,1.37776263842074,103.843782193293
99001,2021-06,ANG MO KIO,3 ROOM,444,ANG MO KIO AVE 10,10 TO 12,67,New Generation,1979,57 years 03 months,338000,444 ANG MO KIO AVE 10,560444,1.36660045321147,103.855578790668
99002,2021-06,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,07 TO 09,67,New Generation,1979,57 years 02 months,338000,475 ANG MO KIO AVE 10,560475,1.36266297827625,103.85651592319
