_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
156337,2023-07,ANG MO KIO,2 ROOM,406,ANG MO KIO AVE 10,04 TO 06,44.0,Improved,1979,54 years 11 months,290000.0,406 ANG MO KIO AVE 10,560406,1.36200453938712,103.853879910407
156338,2023-07,ANG MO KIO,3 ROOM,308B,ANG MO KIO AVE 1,19 TO 21,70.0,Model A,2012,88 years 04 months,560888.0,308B ANG MO KIO AVE 1,562308,1.3652661423815,103.844538059044
156339,2023-07,ANG MO KIO,3 ROOM,219,ANG MO KIO AVE 1,07 TO 09,82.0,New Generation,1977,53 years,420000.0,219 ANG MO KIO AVE 1,560219,1.36598198004505,103.840654039612
156340,2023-07,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,56 years 07 months,375000.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513
156341,2023-07,ANG MO KIO,3 ROOM,331,ANG MO KIO AVE 1,04 TO 06,68.0,New Generation,1981,56 years 07 months,365000.0,331 ANG MO KIO AVE 1,560331,1.36211140145298,103.85076647513
156342,2023-07,ANG MO KIO,3 ROOM,308B,ANG MO KIO AVE 1,22 TO 24,70.0,Model A,2012,88 years 02 months,620000.0,308B ANG MO KIO AVE 1,562308,1.3652661423815,103.844538059044
156343,2023-07,ANG MO KIO,3 ROOM,330,ANG MO KIO AVE 1,10 TO 12,68.0,New Generation,1981,56 years 07 months,360000.0,330 ANG MO KIO AVE 1,560330,1.36243186402478,103.851030689651
156344,2023-07,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,01 TO 03,82.0,New Generation,1980,55 years 08 months,385000.0,462 ANG MO KIO AVE 10,560462,1.36695558620194,103.858031320467
156345,2023-07,ANG MO KIO,3 ROOM,540,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1981,56 years 07 months,328000.0,540 ANG MO KIO AVE 10,560540,1.37529376778898,103.855452425625
156346,2023-07,ANG MO KIO,3 ROOM,462,ANG MO KIO AVE 10,10 TO 12,68.0,New Generation,1980,55 years 09 months,398888.0,462 ANG MO KIO AVE 10,560462,1.36695558620194,103.858031320467
156347,2023-07,ANG MO KIO,3 ROOM,466,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1984,60 years 04 months,386000.0,466 ANG MO KIO AVE 10,560466,1.36581960538764,103.857061606231
156348,2023-07,ANG MO KIO,3 ROOM,560,ANG MO KIO AVE 10,07 TO 09,67.0,New Generation,1980,55 years 08 months,386000.0,560 ANG MO KIO AVE 10,560560,1.37081626777721,103.859192334256
