_id,month,town,flat_type,block,street_name,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,postal,latitude,longitude
44925,2019-03,ANG MO KIO,2 ROOM,172,ANG MO KIO AVE 4,07 TO 09,45.0,Improved,1986,65 years 10 months,188000.0,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365
44926,2019-03,ANG MO KIO,2 ROOM,323,ANG MO KIO AVE 3,10 TO 12,44.0,Improved,1977,57 years 03 months,190000.0,323 ANG MO KIO AVE 3,560323,1.36790849360635,103.84771408812
44927,2019-03,ANG MO KIO,3 ROOM,121,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1978,58 years 07 months,211000.0,121 ANG MO KIO AVE 3,560121,1.36970563478325,103.843515981311
44928,2019-03,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,01 TO 03,67.0,New Generation,1978,58 years 05 months,228000.0,109 ANG MO KIO AVE 4,560109,1.3700965375834,103.837687766047
44929,2019-03,ANG MO KIO,3 ROOM,564,ANG MO KIO AVE 3,04 TO 06,68.0,New Generation,1985,64 years 10 months,230000.0,564 ANG MO KIO AVE 3,560564,1.36984837555524,103.859404131956
44930,2019-03,ANG MO KIO,3 ROOM,172,ANG MO KIO AVE 4,04 TO 06,60.0,Improved,1986,65 years 10 months,230800.0,172 ANG MO KIO AVE 4,560172,1.37469423247424,103.836462867365
44931,2019-03,ANG MO KIO,3 ROOM,174,ANG MO KIO AVE 4,04 TO 06,60.0,Improved,1986,65 years 10 months,233800.0,174 ANG MO KIO AVE 4,560174,1.37509746867904,103.83761896123
44932,2019-03,ANG MO KIO,3 ROOM,109,ANG MO KIO AVE 4,04 TO 06,67.0,New Generation,1978,58 years 05 months,236000.0,109 ANG MO KIO AVE 4,560109,1.3700965375834,103.837687766047
44933,2019-03,ANG MO KIO,3 ROOM,159,ANG MO KIO AVE 4,01 TO 03,69.0,New Generation,1980,60 years 07 months,240000.0,159 ANG MO KIO AVE 4,560159,1.37479893193043,103.839858129785
44934,2019-03,ANG MO KIO,3 ROOM,157,ANG MO KIO AVE 4,04 TO 06,69.0,New Generation,1980,60 years 07 months,245000.0,157 ANG MO KIO AVE 4,560157,1.37530562109722,103.839395071769
44935,2019-03,ANG MO KIO,3 ROOM,233,ANG MO KIO AVE 3,10 TO 12,67.0,New Generation,1977,57 years 07 months,245000.0,233 ANG MO KIO AVE 3,560233,1.36754924977907,103.836740628478
44936,2019-03,ANG MO KIO,3 ROOM,433,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,58 years 10 months,246000.0,433 ANG MO KIO AVE 10,560433,1.36807652285135,103.854353042615
44937,2019-03,ANG MO KIO,3 ROOM,433,ANG MO KIO AVE 10,01 TO 03,67.0,New Generation,1979,58 years 11 months,247000.0,433 ANG MO KIO AVE 10,560433,1.36807652285135,103.854353042615
44938,2019-03,ANG MO KIO,3 ROOM,586,ANG MO KIO AVE 3,07 TO 09,67.0,New Generation,1979,59 years 05 months,247500.0,586 ANG MO KIO AVE 3,560586,1.37030352965928,103.853455898206
44939,2019-03,ANG MO KIO,3 ROOM,475,ANG MO KIO AVE 10,04 TO 06,67.0,New Generation,1979,59 years 04 months,248000.0,475 ANG MO KIO AVE 10,560475,1.36266297827625,103.85651592319
44940,2019-03,ANG MO KIO,3 ROOM,152,ANG MO KIO AVE 5,04 TO 06,68.0,New Generation,1981,61 years 02 months,248800.0,152 ANG MO KIO AVE 5,560152,1.3766876256746,103.840159506601
44941,2019-03,ANG MO KIO,3 ROOM,570,ANG MO KIO AVE 3,01 TO 03,67.0,New Generation,1979,59 years 02 months,250000.0,570 ANG MO KIO AVE 3,560570,1.3697435855576,103.856023138277
44942,2019-03,ANG MO KIO,3 ROOM,446,ANG MO KIO AVE 10,01 TO 03,68.0,New Generation,1979,59 years 05 months,255000.0,446 ANG MO KIO AVE 10,560446,1.36776095130953,103.855357145908
44943,2019-03,ANG MO KIO,3 ROOM,223,ANG MO KIO AVE 1,04 TO 06,67.0,New Generation,1978,57 years 10 months,258000.0,223 ANG MO KIO AVE 1,560223,1.36604808445916,103.838122716883
44944,2019-03,ANG MO KIO,3 ROOM,155,ANG MO KIO AVE 4,01 TO 03,68.0,New Generation,1981,61 years 02 months,260000.0,155 ANG MO KIO AVE 4,560155,1.37587723828643,103.840067482919
44945,2019-03,ANG MO KIO,3 ROOM,338,ANG MO KIO AVE 1,01 TO 03,66.0,Improved,1981,61 years 05 months,260000.0,338 ANG MO KIO AVE 1,560338,1.36389570157547,103.848986957428
44946,2019-03,ANG MO KIO,3 ROOM,443,ANG MO KIO AVE 10,10 TO 12,67.0,New Generation,1979,59 years 06 months,260000.0,443 ANG MO KIO AVE 10,560443,1.36604388871674,103.855368968681
44947,2019-03,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,60 years 10 months,260000.0,541 ANG MO KIO AVE 10,560541,1.37392239168826,103.855621371068
44948,2019-03,ANG MO KIO,3 ROOM,541,ANG MO KIO AVE 10,04 TO 06,68.0,New Generation,1981,60 years 10 months,265000.0,541 ANG MO KIO AVE 10,560541,1.37392239168826,103.855621371068
